index,title,Description,Types of Diet,Region 
1,Maach Jhol,Fish with potol  tomato  chillies  ginger and garlic from Assam,Non Vegetarian   ,North-East
2,Pork Bharta,Boiled pork with onions  chillies  ginger and garlic from Tripura,Non Vegetarian   ,North-East
3,Chak Hao Kheer,Purple rice porridge from Manipur,Vegetarian   ,North-East
4,Galho,Galho is similar to khichdi  a dish made from rice and also lentils and also popular in the most parts of North East India,Non Vegetarian,North-East
5,Aloo gobi,Cauliflower with potatoes saut ed with garam masala  turmeric  sometimes kalonji and curry leaves ,Vegetarian,North
6,Aloo tikki,Patties of potato mixed with some vegetables fried,Vegetarian,North
7,Aloo matar,Potatoes and peas in curry,Vegetarian,North
8,Aloo methi,Potato with fresh Methi leaves ,Vegetarian,North
9,Aloo shimla mirch,Green capsicum with potatoes saut ed with cumin seeds  onions  tomatoes  ginger garlic paste  turmeric  red chilli powder and garam masala,Vegetarian,North
10,Amriti with rabdi,a dessert made by combining amriti with rabdi,Vegetarian,North
11,Amritsari fish,Fried fish made with curry  ginger  and garlic,Non Vegetarian,North
12,Amritsari kulcha,mildly leavened flatbread,Vegetarian,North
13,Baati,hard  unleavened bread cooked in most of areas of Rajasthan  and in some parts of Madhya Pradesh  and Gujarat states of India ,Vegetarian,North
14,Bhatura,a fluffy deep fried leavened bread originating from the Indian subcontinent ,Vegetarian,North
15,Bhindi masala,Okra saut ed with onions and tomatoes,Vegetarian,North
16,Biryani,Mixed rice dish  optional spices  optional vegetables  meats or seafood  Can be served with plain yogurt ,Non Vegetarian,North
17,Butter chicken,dish  originating in the Indian subcontinent  of chicken in a mildly spiced tomato sauce  It is also known as murgh mahal,Non Vegetarian,North
18,Chaat,Street food  Usually containing potato patty fried in oil  topped with sweet yogurt  and other sauces and spices,Vegetarian,North
19,Chana masala,Chickpeas of the Chana type in tomato based sauce ,Vegetarian,North
20,Chapati,unleavened flatbread originating from the Indian subcontinent and staple in India  Nepal  Bangladesh  Pakistan  Sri Lanka  East Africa and the Caribbean ,Vegetarian,North
21,Chicken razala,a Bhopali style chicken cooked in a rich gravy with mint,Non Vegetarian,North
22,Chicken Tikka masala,Chicken marinated in a Yogurt tomato sauce  It is known to have a creamy texture ,Non Vegetarian,North
23,Chicken Tikka,Chicken with spices served on a skewer,Non vegeterian,North
24,Chole bhature,Main course with Chick peas  assorted spices  wheat flour and bhatura yeast ,Vegetarian,North
25,Daal baati churma,a Rajasthani specialty,Vegetarian,North
26,Daal puri,Stuffed dal in parathas,Vegetarian,North
27,Dal makhani  kali dal ,a main course with lentils,Vegetarian,North
28,Dal,Assorted types of lentils  sucfch as toor  urad  chana  masoor dal,Vegetarian,North
29,Dal fry with tadka,Typical north Indian tadka,Vegetarian,North
30,Dum aloo,Potatoes cooked in curry,Vegetarian,North
31,Poha,Specialty from Madhya Pradesh  Common snack in central part of India  Flattended rice  potato  turmeric ,Vegetarian,North
32,Fara,Stuffed Lentil Dumplings,Vegetarian,North
33,Firni,This is a dessert made of fine flour and ghee that is made only in Pundri ,Vegetarian,North
34,French bean aloo,Diced French beans with potatoes cooked with chopped onions  tomatoes saut ed with cumin seeds  green chillies and garam masala,Vegetarian,North
35,Gajar ka halwa,sweet dish native to U P    Punjab  Carrot  Milk  Ghee  Cashew ,Vegetarian,North
36,Gajar matar aloo,Diced red orange carrots and potatoes saut ed with black mustard leaves  garnished with ground black pepper powder and lemon juice,Vegetarian,North
37,Gobhi matar,Cauliflower in a tomato sauce,Vegetarian,North
38,Imarti,spherically meshed sweet dish from North India made up of batter from moong dal dipped in sugary syrup,Vegetarian,North
39,Hari mutter ka nimona  green peas daal ,a Typical north Indian tadka,Vegetarian,North
40,Jalebi,A North Indian twisted noodle like sweet dish dipped in sugary syrup,Vegetarian,North
41,Jaleba,A bigger form of jalebi,Vegetarian,North
42,Kachori,Rajasthani   Marwari special,Vegetarian,North
43,Kadai paneer,Paneer and green peppers in tomato gravy,Vegetarian,North
44,Kadhi pakoda,Gram flour with yogurt with gramflour fried balls,Vegetarian,North
45,Karela bharta,a bitter gourd or melon dish,Usually vegetarian,North
46,Katha meetha petha halwakadoo,Pumpkin cooked in spices,Vegetarian,North
47,Kheer,Rice cooked with milk and dry fruits,Vegetarian,North
48,Khichdi,Rice cooked with daal and veggies and sauteed,Vegetarian,North
49,Kofta,Gram flour balls fried with vegetables  Gram flour  veggies  rolled into balls with gram flour and fried in oil and then cooked with curry ,Vegetarian,North
50,Kulfi falooda,dessert to ward off sweltering heat of summers,Vegetarian,North
51,Lauki ke kofte,a way to serve bottle gourd,Vegetarian,North
52,Lauki ki subji,a way to serve bottle gourd,Vegetarian,North
53,Litti chokha,a baked salted wheat flour cake filled with sattu  baked chickpea flour  and some special spices,Vegetarian,North
54,Makki di roti  sarson da saag,Creamed sarson mustard leaves  with heavily buttered roti made from corn flour   Punjabi winter favorite ,Vegetarian,North
55,Mathura ke pede,a sort of a confection,Vegetarian,North
56,Methi saag  chaulai saab,Veggie leaves sauteed in oil and garlic with little masalas  Cooked mostly in central part of India ,Vegetarian,North
57,Misi roti,Whole wheat   gram flour dough ground masalas  pan fried,Vegetarian,North
58,Mixed vegetable,mixed vegetables  slow cooked with a tomato sauce added ,Vegetarian,North
59,Moong dal ka halwa,a dish made with yellow lentils  milk  sugar  and nuts,Vegetarian Dessert,North
60,Mushroom do pyaza,Mushrooms   Onions in a tomato masala sauce spiced with chilles,Vegetarian,North
61,Mushroom matar,Mushrooms and sweet peas in a masala or chili sauce,Vegetarian,North
62,Naan,Tandoor baked soft flatbread made with refined wheat flour ,Vegetarian,North
63,Navrattan korma,Vegetables  Nuts  Paneer Cheese in a tomato cream sauce,Vegetarian,North
64,Palak paneer,Paneer cubes in spinach gravy,Vegetarian,North
65,Paneer butter masala,Paneer made with Indian Cheese  Paneer is substituted for meat in Vegetarian dishes,Vegetarian,North
66,Paneer tikka masala,vegetarian alternative to chicken tikka masala,Vegetarian,North
67,Pani puri,a typical Indian tadka,Vegetarian,North
68,Panjeeri,a mixture of butter  dried fruits and whole wheat flour served as a dessert ,Vegetarian,North
69,Papad,A crispy add on to Lunch and Dinner  for adding a spicy and crunchier taste to food ,Vegetarian,North
70,Paratha,flatbread native to the Indian subcontinent  prevalent throughout the modern day nations of India  Sri Lanka  Pakistan  Nepal  Bangladesh  Maldives  and Myanmar  where wheat is the traditional staple,Vegetarian,North
71,Pattor,A flour based snack,Vegetarian,North
72,Phirni,a rice Pudding,Vegetarian,North
73,Pindi chana,a chickpea dish,Vegetarian,North
74,Pinni,An almond based dessert,Vegetarian,North
75,Rajma chaval,a bean curry with rice,Vegetarian,North
76,Rajma,Main  Kidney beans   assorted spices ,Vegetarian,North
77,Ramatori subji,a spicy side dish made with any two vegetables i e  potatoes and cabbage,Vegetarian,North
78,Rongi,Black eyes peas  onions and tomatoes in a curry sauce,Vegetarian,North
79,Samosa,Normally served as an entree or appetiser  Potatoes  onions  peas  coriander  and lentils  may be served with a mint or tamarind sauce,Vegetarian,North
80,Samose,a typical north Indian tadka,Vegetarian,North
81,Sattu ki roti,a dish from Bihar,Vegetarian,North
82,Shahi paneer,A popular Indian  as well as Punjabi and Nepalese dish  made with paneer in a thick cream and tomato gravy and spices,Vegetarian,North
83,Shahi tukra,a bread pudding in a rich sauce of thickened milk  garnished with sliced almonds,Vegetarian,North
84,Singhada halwa,Lotus fruit dried and powdered to make this fasting sweet meat,Vegetarian,North
85,Sooji halwa,Semolina cooked with clarified butter and dry fruits  Semolina  Suji   clarified butter  cashew nuts ,Vegetarian,North
86,Sweet pethas   kesar petha   pista petha,A ravioli like dessert stuffed with a choice of fillings and equally popular in various parts of India and Pakistan,Vegetarian,North
87,Vegetable jalfrezi,Meat and spices fried in a pan  Can be vegetarian as well ,Vegetarian,North
